validation_sample_id,case_category,recommended_priority,model_name,direction_forward,gamma,alpha_index_forward,alpha,segment_initial_phi_forward,segment_peak_phi_forward,final_phi_forward,transport_retention_forward,final_sync_forward,final_energy_forward,initial_coupling_entropy_global_forward,segment_initial_coupling_entropy_forward,final_coupling_entropy_forward,coupling_entropy_drop_forward,final_coupling_spectral_radius_forward,coupling_concentration_forward,final_M_saturation_fraction_forward,final_C_saturation_fraction_forward,segment_M_saturation_max_forward,segment_C_saturation_max_forward,memory_regime_forward,direction_backward,alpha_index_backward,segment_initial_phi_backward,segment_peak_phi_backward,final_phi_backward,transport_retention_backward,final_sync_backward,final_energy_backward,initial_coupling_entropy_global_backward,segment_initial_coupling_entropy_backward,final_coupling_entropy_backward,coupling_entropy_drop_backward,final_coupling_spectral_radius_backward,coupling_concentration_backward,final_M_saturation_fraction_backward,final_C_saturation_fraction_backward,segment_M_saturation_max_backward,segment_C_saturation_max_backward,memory_regime_backward,H_phi,H_sync,H_entropy,H_spectral_radius,saturation_warning_forward,saturation_warning_backward,saturation_warning_any,memory_strength,hysteresis_detected
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,0,0.0,0.001390938468126975,0.007239835436036959,0.007236273300676721,0.9995079810319976,0.02794200091546436,0.2589747714406466,2.4288048348726483,2.4288048348726483,2.4484714643219325,-0.019666629449284212,0.13553909343784276,1.6910569023516484,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,6,0.002222893220268438,0.002222893220268438,0.0016853176966756518,0.7581640361987193,0.007641817962391107,0.22053884363248033,2.4288048348726483,2.513891266200666,2.5167903518842665,-0.002899085683600422,0.05621828135730647,1.5897436109139942,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.7671014308863727,0.7265114267858931,0.06831888756233395,0.5852246024968951,False,False,False,0.5665405975352875,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,1,0.02,0.007236273300676721,0.007236273300676721,0.006194281673251687,0.8560043844414232,0.027325367120058168,0.22668612816933678,2.4288048348726483,2.4484714643219325,2.5165683398124674,-0.06809687549053489,0.09365076007724879,1.6660918980850457,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0029589272781295494,0.0029589272781295494,0.002222893220268438,0.7512496964516018,0.010046004987323144,0.22127136340002454,2.4288048348726483,2.5201111058511967,2.513891266200666,0.006219839650530634,0.08328102948409412,1.5939899288435149,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.6411378529154506,0.6323560834949867,0.0026770736118013616,0.11072767145178923,False,False,False,0.3508698277358648,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,2,0.05,0.006194281673251687,0.006194281673251687,0.004784536698890117,0.7724118712228439,0.021594617633637805,0.22156153816019752,2.4288048348726483,2.5165683398124674,2.5871655902349073,-0.07059725042243992,0.07604698179949093,1.6713365677201306,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,4,0.003935514262739598,0.003935514262739598,0.0029589272781295494,0.7518527642986923,0.013317043565358308,0.2221910038521329,2.4288048348726483,2.531035007494248,2.5201111058511967,0.010923901643051348,0.11661794795861587,1.586747521261104,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.38156451403173364,0.3833165378673922,0.06705448438371064,0.3478964161946532,False,False,False,0.32467545946041954,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,3,0.1,0.004784536698890117,0.004784536698890117,0.00360357491744789,0.7531711309750535,0.016322927702888405,0.22076768230801044,2.4288048348726483,2.5871655902349073,2.5962525094356295,-0.009086919200722132,0.07921910301044127,1.7029165684851968,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,3,0.005163590187620334,0.005163590187620334,0.003935514262739598,0.7621662678445696,0.017614444117783155,0.2234254022678121,2.4288048348726483,2.544137458239744,2.531035007494248,0.013102450745495986,0.15835630941019874,1.5736994567245413,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.08434459210326758,0.0733214404147754,0.06521750194138143,0.4997414166445647,False,False,False,0.20925732447552586,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,4,0.2,0.00360357491744789,0.00360357491744789,0.002715558919415958,0.7535735986822739,0.01227859800426202,0.22116196967058954,2.4288048348726483,2.5962525094356295,2.5069185132948273,0.08933399614080217,0.11109513203831914,1.7443533685052974,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,2,0.006542816886253168,0.006542816886253168,0.005163590187620334,0.7891998624751568,0.022898842552734496,0.22549568502115044,2.4288048348726483,2.562252798623557,2.544137458239744,0.018115340383813017,0.21140452660579678,1.5586074196902782,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.47409480202348675,0.4637895790388085,0.03721894494491673,0.47449028730614057,False,False,False,0.3778660760556944,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,5,0.3,0.002715558919415958,0.002715558919415958,0.002078965182052827,0.7655754277408129,0.009358899072492493,0.2221377926986395,2.4288048348726483,2.5069185132948273,2.4076315813025193,0.09928693199230798,0.15920630781795275,1.7669483299895543,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,1,0.0074365508597273155,0.007437151666018619,0.006542816886253168,0.8797476748078785,0.028246339004462908,0.23163415567657833,2.4288048348726483,2.5716350318557866,2.562252798623557,0.009382233232229531,0.271986743331007,1.5401790702192693,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.6822522746887347,0.6686685990817267,0.15462121732103773,0.4146541634030529,False,False,False,0.580837036604303,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.05,6,0.4,0.002078965182052827,0.002078965182052827,0.0016322722690369812,0.7851368951932586,0.007307833606674242,0.2233592548612803,2.4288048348726483,2.4076315813025193,2.3405957316525803,0.06703584964993903,0.21096912831279346,1.7766574150127097,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.001390938468126975,0.007436036291263275,0.0074365508597273155,1.0000691991598503,0.028133920140191202,0.26432686318405024,2.4288048348726483,2.4288048348726483,2.5716350318557866,-0.14283019698313826,0.3660475195637173,1.5610733296413357,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.7805068101319568,0.7402482991705533,0.2310393002032063,0.42365644612299014,False,False,False,0.6659873426378876,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.1,0,0.0,0.001390938468126975,0.006486997319431665,0.006351522020666463,0.9791158693193067,0.024578556364438495,0.2584172124061838,2.4288048348726483,2.4288048348726483,2.4444568541302125,-0.01565201925756421,0.09648624169941056,1.7099917910479894,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,6,0.000980521457707854,0.000980521457707854,0.0007260065229227937,0.7404289997686904,0.003309193055381448,0.21939080336886163,2.4288048348726483,2.3563576447359678,2.356556653471288,-0.00019900873532030516,0.014122555127998027,1.7506363195168348,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.88569566137908,0.8653625946463349,0.08790020065892445,0.8536314102393115,False,False,False,0.7275904837930725,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.1,1,0.02,0.006351522020666463,0.006351522020666463,0.004696617873984291,0.7394476249886368,0.02079415589523172,0.22586239603316943,2.4288048348726483,2.4444568541302125,2.5300355557220766,-0.08557870159186409,0.049509844027464,1.7055613296165506,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0014235525205243912,0.0014235525205243912,0.000980521457707854,0.688784883509515,0.004459512663484056,0.2198718854947276,2.4288048348726483,2.3757381427579762,2.3563576447359678,0.019380498022008474,0.030007073172421343,1.7509449484998079,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.7912281806168585,0.7855400966147321,0.17367791098610885,0.39391703281937634,False,False,False,0.6406930361962151,True
val_cut_e0_e3_probe_e1_e6,fracture_precursor,A,neutral_coupling,forward,0.1,2,0.05,0.004696617873984291,0.004696617873984291,0.0030963509439269027,0.659272486360679,0.014029405347611521,0.2207043611049452,2.4288048348726483,2.5300355557220766,2.5882402868765553,-0.05820473115447866,0.0351527912805931,1.73517433124671,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,4,0.002163156925316838,0.002163156925316838,0.0014235525205243912,0.6580902676109792,0.006453527751859066,0.22058517066333352,2.4288048348726483,2.4057724140411016,2.3757381427579762,0.030034271283125413,0.05315340657103816,1.7357454287003062,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.5402483288088658,0.5399999078722345,0.21250214411857904,0.3386540289952827,False,False,False,0.5230553983518689,True
